city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,date,time
sanford,me,us,light,120,1-2 minutes,We were having a fire and saw a very bright cone shaped light above the tree line&#44 it stayed for a minute or so then vanished.,12/12/2009,43.4391667,-70.7747222,9/19/2009,19:45
somerset,nj,us,light,30,15-30 seconds,Extremely bright cones shaped light shining down from the sky.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.4975,-74.4888889,9/19/2009,19:45
suffolk,va,us,light,30,30 seconds,Bright light in sky.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,36.7280556,-76.5838889,9/19/2009,19:45
towson,md,us,triangle,30,30 seconds,A small sphere shape object appeared&#44 with a triangle shaped light being emitted from the bottom. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,39.4013889,-76.6022222,9/19/2009,19:45
putney,vt,us,light,60,60 seconds,VANISHING BRIGHT WHITE LIGHT WITH CONE SHAPED MIST IN PUTNEY&#44 VT.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,42.9747222,-72.5222222,9/19/2009,19:46
abingdon,md,us,cylinder,180,3 minutes,Extremely bright and radiating light outward.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,39.4622222,-76.2794444,9/19/2009,19:50
auburn,ma,us,disk,20,20 seconds,a white cone shape light  in the sky.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,42.1944444,-71.8361111,9/19/2009,19:50
bellingham,ma,us,flash,60,1 minute,Strange light progressivly brighter&#44 cone of light from below in Massachusetts&#44 ((NUFORC Note:  Missile launch.  PD)),12/12/2009,42.0866667,-71.475,9/19/2009,19:50
berwick,me,us,triangle,20,20 seconds,(light with defined beam appeared very bright(looked like an upside down v). ((NUFORC Note:  Missile launch.  PD)),12/12/2009,43.2658333,-70.865,9/19/2009,19:50
burlington,nj,us,cone,30,30 seconds,7:50 PM&#44 cone-shaped object&#44 three spot-light type lights.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.0711111,-74.8652778,9/19/2009,19:50
dundalk,md,us,sphere,45,45 seconds,A dark sphere appeared southeast of dundalk&#44 maryland then disappeared leaving a haze of smoke.((NUFORC Note:  Missile launch.  PD)),12/12/2009,39.2505556,-76.5208333,9/19/2009,19:50
evans city,pa,us,triangle,15,15 seconds,Triangular object in the sky in Evans City pa  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.7691667,-80.0630556,9/19/2009,19:50
harrisonburg,va,us,disk,90,1 minute 30 sec,Very bright disk shape eastern sky Harrisonburg. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,38.4494444,-78.8691667,9/19/2009,19:50
leesburg,va,us,cone,20,20 seconds,Object with cone shaped tail rises above Dulles&#44 VA.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,39.1155556,-77.5638889,9/19/2009,19:50
manalapan,nj,us,circle,15,15 sec,circular stationary white light shining straight down thru an apparent haze.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.2572222,-74.3961111,9/19/2009,19:50
pittstown,nj,us,light,15,15 seconds,two beams of light high in the sky.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.5819444,-74.9594444,9/19/2009,19:50
providence,ri,us,unknown,20,20 seconds,I ran across information that seems to explain the beams.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,41.8238889,-71.4133333,9/19/2009,19:50
riverhead,ny,us,cone,60,less than 1 minute,It was like a bright white spot light.  It then split into 2 and disapeared. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.9169444,-72.6625,9/19/2009,19:50
sterling,ct,us,unknown,180,3 min,Large glow of light that led down to a beam with no sound.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,41.7075,-71.8291667,9/19/2009,19:50
troy,ny,us,unknown,2,seconds,large bright missle like object&#44 headed straight up leaving an inverted v shaped dust cloud behind it - very very large - reached a cer,12/12/2009,42.7283333,-73.6922222,9/19/2009,19:50
